지역,매장,테마,별점,난이도,리뷰수
강원,셜록홈즈 원주점,추적,7.22,0,9
광주,러시아워 방탈출 카페,녀,7.22,4,250
광주,상상의문 광주점,영결식(靈結式),7.22,3,99
강남,마스터키 강남점,메르헨 수호대,7.21,7,511
광주,러시아워 로드맨션,지난날,7.21,7,77
안산,꿈소풍 안산 1호점,꿈꾸는 앨리스,7.21,3,228
홍대,비밀의 화원 홍대 미드나잇점,팩토리 엠,7.2,7,406
광주,상상의문 광주점,TITAN : 전쟁의경계,7.2,6,25
강남,에피소드 방탈출 강남점,메아리,7.19,4,333
건대,비밀의 화원 건대 포레스트점,미씽 스노우맨,7.19,3,342
신촌,위드방탈출,세번째밤,7.18,6,262
대구,룸즈에이 대구동성로점,반짝반짝,7.18,6,78
건대,넥스트에디션 건대 1호점,다시 봄,7.18,5,450
강남,미스터리 룸 이스케이프 강남점,인형괴담,7.17,4,451
안산,꿈소풍 안산 2호점,금GO,7.17,3,99
대구,머더파커 대구점,PC방 가는 길,7.16,7,206
건대,이스케이프 # 건대점,더 라스트 노트,7.16,6,269
서울(기타),셜록홈즈 서울대입구점,4,7.16,6,148
일산,룸즈에이 일산라페스타점,낭랑카페,7.16,3,51
경기(기타),나비잠,범계: 호랑이 계곡 (어드벤쳐),7.16,3,194
대전,셜록홈즈 대전 신세계백화점,죽음의 신,7.14,0,21
대전,코마 이스케이프 대전둔산점,Secret Agent,7.14,0,28
부산,셜록홈즈 부산아트몰링점,골드워쳐,7.14,0,14
부산,플레이포인트랩 해운대블루오션스테이션점,별의별,7.14,0,7
신촌,이스케이프시티 그랜드 시티 신촌점,연,7.14,8,271
안산,꿈소풍 안산 1호점,말콤 앤 매리언 : 언더커버 미션,7.13,9,235
동탄,마스터키 프라임 동탄점,인스톨,7.13,7,176
건대,비밀의 화원 건대 포레스트점,라스트 잡,7.13,6,265
홍대,이스케이퍼스 2호점,네모네모 마믈메는 무슨밀미 밌멌믈까?,7.13,5,556
홍대,해피앤딩,H.B.D : 해피버스데이,7.13,4,286
홍대,비트포비아 홍대 던전,날씨의 신,7.13,3,559
인천,둠 이스케이프 1호점,인앤아웃,7.12,7,231
수원,소우주,마지막 유산,7.12,7,434
대구,비밀의 화원 동성로점,대감댁 변씨,7.11,8,38
대구,이스케이퍼스 대구점,돈싱크,7.11,7,161
인천,크라임씬 방탈출,Fancy,7.11,5,57
경기(기타),룸즈에이 안양범계점,띵가띵가,7.11,2,71
건대,넥스트에디션 건대 2호점,Make-up,7.1,4,423
전주,머더파커 전주 1호점,내 이름 지배만,7.1,4,195
수원,룸즈에이 수원역점,우당탕탕,7.1,3,226
건대,넥스트에디션 건대 1호점,이불 밖은 위험해,7.08,2,553
광주,비밀의 화원 광주점,라스트 잡,7.07,6,29
인천,서울 이스케이프 룸 부평점,회장님의 서재,7.07,5,167
대학로,셜록홈즈 대학로점,혼 : 원혼의 저주,7.06,6,287
부산,서울 이스케이프 룸 서면점,알카트라즈 지하감옥,7.06,6,34
서울(기타),플레이더월드 문래동 창작촌점,우당냥냥 냥카페,7.06,1,90
강남,이룸에이트,아이엠유튜버,7.04,4,434
수원,룸즈에이 수원역점,띵가띵가,7.04,2,164
강남,룸즈에이 강남점,왕자님이 찾으십니다,7.02,7,453
신촌,더클루 신촌프리미엄점,호그와트 - 슬리데린,7.02,6,327
일산,룸즈에이 일산웨스턴돔점,Secret Agent,7.02,6,47
강남,제로월드 강남점,나비효과,7.01,4,498
포항,룸즈에이 포항점,너와 나의 이야기,7,0,20
광주,룸즈에이 광주수완점,히어로 아카데미,7,0,25
건대,마스터키 건대점,DELIVER,7,5,432
경기(기타),룸즈에이 안양범계점,뽀득뽀득,7,4,95
홍대,미스터리 룸 이스케이프 홍대 1호점,꼬치 진다,7,3,273
전주,키이스케이프 전주점,혜화 잡화점,6.99,5,151
홍대,비트포비아 홍대 던전,사라진 보물 : 대저택의 비밀,6.98,6,479
수원,룸즈에이 수원역2호점,귀빈 (손님 대접),6.98,5,243
인천,넥스트에디션 부평점,로렌시아,6.97,10,322
인천,리멤버 방탈출 부평점,옥탑방 신사,6.96,6,163
경기(기타),룸즈에이 안양범계점,커밍순,6.96,6,102
홍대,이스케이퍼스 1호점,RS ROOM NORMAL,6.96,4,230
대전,룸즈에이 대전은행점,낭랑카페,6.96,3,23
대구,머더파커 대구 2호점,사건의 재구성,6.95,6,190
강남,마스터키 강남점,이자카야 츠이오쿠,6.95,2,488
인천,서울 이스케이프 룸 부평점,404호 살인사건,6.93,7,187
수원,리멤버 방탈출 수원점,리멤버,6.93,4,202
안산,셜록홈즈 안산점(2023),방탈수난기,6.93,4,44
대전,코마 이스케이프 대전둔산점,7 DAYS,6.93,4,57
성남,상상의문 분당서현점,전당포 조필두,6.93,2,244
강남,마스터키 프라임 강남점,어웨이큰,6.91,9,333
광주,러시아워 방탈출 카페,미끼,6.91,8,202
전주,카오스 이스케이프 2호점,너의 곁으로,6.91,8,123
건대,마스터키 건대점,D-Day,6.91,6,398
부산,룸즈에이 부산남포점,Secret Agent,6.9,0,21
강원,셜록홈즈 원주점,Red&White,6.9,0,21
홍대,엑스케이프 홍대점,육식주의자,6.9,10,284
홍대,비밀의 숲,리플레이,6.9,6,163
대학로,룸즈에이 대학로점,Secret Agent,6.9,5,274
강남,마스터키 프라임 강남점,별의별,6.9,1,324
대전,코마 이스케이프 대전둔산점,뜻밖의 여행,6.89,4,61
광주,룸즈에이 광주상무점,전지적 작가 시점,6.89,4,53
부산,카타르시스 이스케이프,500 x 5,6.88,10,72
건대,머더파커 건대 1호점,우리 꼰대 진분홍,6.88,5,448
건대,이스케이프 # 건대점,철수네수퍼,6.88,5,335
대구,비밀의 화원 동성로점,안녕,6.88,4,40
대구,마스터키 동성로 2호점,OverTime,6.87,8,142
건대,머더파커 건대 2호점,동물병원,6.87,3,371
신림,룸엘이스케이프,트레져헌터,6.86,6,334
대구,룸즈에이 대구동성로 2호점,아이덴티티,6.86,6,161
부천,넥스트에디션 부천점,집으로,6.86,3,231
전주,머더파커 전주 1호점,머더파커 분노의 살인,6.86,3,159
부산,비밀의 화원 서면점,블라인드,6.85,7,100
대학로,상상의문 대학로점,경찰과 도둑 EP.2 (도둑 이야기) (리뉴얼),6.85,5,176
홍대,머더파커 홍대 1호점,구둣방손님,6.85,3,466
대구,룸즈에이 대구동성로 2호점,띵가띵가,6.85,3,84
건대,솔버 1호점,더 케이지,6.84,5,414
광주,미션 브레이크 광주 CGV,책 읽어주는 남자,6.83,0,30
홍대,비밀의 화원 홍대 미드나잇점,파리82,6.83,7,420
건대,솔버 1호점,콜드 케이스,6.83,4,431
대구,황금열쇠 대구점,X됐다,6.82,2,278
노원,셜록홈즈 노원점,지프리트의 심장,6.81,6,144
청주,마스터키 프라임 청주점,환생시험,6.81,6,105
광주,룸즈에이 광주상무점,GRACE HOTEL,6.81,5,47
강남,룸즈에이 강남점,집떡 묘선생,6.8,3,440
인천,코드케이 구월점,충무공 이순신,6.8,3,64
경기(기타),마스터키 안양일번가점,사랑과 전쟁,6.79,7,237
전주,머더파커 전주 3호점,김파커 끝없는 복수,6.79,6,165
전주,키이스케이프 전주점,산장 : 사라진 목격자,6.79,6,117
성남,제로월드 서현점,검은집,6.78,5,309
광주,상상의문 광주점,캐치캣,6.78,5,73
전주,머더파커 전주 2호점,목격자들,6.78,3,157
신촌,룸익스케이프 블랙점,에이전트 : 노출된 미션,6.77,8,280
수원,룸즈에이 수원역점,전지적 작가 시점,6.77,4,215
서울(기타),셜록홈즈 서울대입구점,괴담수집가,6.76,10,136
인천,마스터키 부평점,세이브 더 월드,6.76,4,128
대구,비밀의 화원 동성로점,비밀의 선물,6.76,3,34
의정부,룸즈에이 의정부점,Secret Agent,6.75,6,20
천안,마스터키 천안신부점,트러브메이커,6.75,3,197
건대,마스터키 건대 로데오점,뱀파이어 헌터,6.74,7,333
경상(기타),머더파커 양산점,언타이틀(Untitle),6.74,7,69
대구,이스케이퍼스 대구점,폰부스,6.74,4,141
홍대,디코더,Introverted Thief,6.73,7,362
안산,셜록홈즈 안산점(2023),낮밤,6.73,2,49
홍대,서울 이스케이프 룸 홍대 2호점,아마존의 잃어버린 도시,6.72,8,442
강남,비밀의 화원 강남 리버타운점,Z,6.72,6,282
천안,마스터키 천안신부점,코드명 : M.K.,6.72,5,186
동탄,무비 이스케이프 동탄 남광장점,코코,6.72,4,96
부산,마스터키 부산서면점,세이프티룸,6.71,8,164
홍대,마스터키 홍대상수점,레이더스,6.7,9,368
홍대,서울 이스케이프 룸 홍대 2호점,CIA본부에서의 탈출,6.7,8,364
건대,머더파커 건대 1호점,어은꿈이진루다,6.7,4,441
강남,비밀의 화원 강남 리버타운점,무고,6.68,7,422
신촌,Gate of the story,Drugun RED,6.68,5,107
인천,이스케이프탑 인천점,젠틀맨 : 요원의 자격(AR),6.67,0,9
인천,콜드 케이스 2호점,피라미드의 비밀,6.67,0,6
대전,브레인 게임존 카이스트 본점,Love Potion No.9,6.67,0,24
청주,셜록홈즈 청주점,무속인 살인사건,6.67,0,9
서울(기타),알카트래즈,프리즌이스케이프(리턴),6.67,7,45
광주,상상의문 광주점,호러맨스,6.67,5,24
건대,머더파커 건대 1호점,음대출신 김수학,6.65,8,407
수원,엑스케이프 수원점,501동 사람들,6.64,6,73
강남,넥스트에디션 강남 5호점,우리동네 김선의 金善醫,6.63,3,442
강남,제로월드 강남점,제로호텔L,6.62,7,463
동탄,무비 이스케이프 동탄 남광장점,설국열차,6.62,5,99
강남,제로월드 강남점,어느 겨울밤2,6.62,3,470
천안,셜록홈즈 아산점,노룸,6.62,1,77
성남,넥스트에디션 분당서현점,테마명을 뭐로할지 못정하겠어요ㅠㅠ,6.61,5,299
천안,셜록홈즈 천안 2호점,인생은 실전이다 종만아,6.61,4,152
경기(기타),셜록홈즈 미사점,셜록곰즈,6.61,3,59
대전,마스터키 궁동점,블랙룸,6.6,10,25
강남,엑스케이프 강남점,기억의 틈,6.6,7,344
강남,마스터키 강남점,히로인,6.6,4,458
건대,비밀의 화원 건대 포레스트점,새벽 베이커리,6.6,3,318
광주,룸즈에이 광주수완점,요정들의 술집,6.59,0,22
건대,넥스트에디션 건대 2호점,빛을 구해줘,6.57,5,392
잠실,넥스트에디션 잠실점,데.코.연.(데이트 코스 연구회),6.57,2,245
대학로,덤앤더머 대학로점,작전명: 옵저버,6.56,7,323
인천,셜록홈즈 부평점,펜타킬,6.55,6,87
대구,머더파커 대구점,백,6.55,5,193
경기(기타),셜록홈즈 미사점,요상한 저택의 비밀 다락방,6.55,4,55
홍대,디코더,Furious Revenge,6.54,6,338
강남,마스터키 강남점,도시괴담 Part.1 ‘The Day of Horror’,6.54,5,431
건대,머더파커 건대 2호점,이상한 하루,6.54,4,318
강남,코드케이 강남점,충무공 이순신,6.53,4,360
대학로,룸즈에이 대학로점,낭랑카페,6.53,2,219
일산,룸즈에이 일산라페스타점,행방불냥,6.52,1,46
경상(기타),머더파커 양산점,오씨네 장난감 가게,6.51,5,93
잠실,머더파커 잠실 WOW점,난 그저 여행만 했을 뿐인데..,6.51,4,251
부산,룸즈에이 부산남포점,낭랑카페,6.5,0,20
신촌,이스케이프시티 그랜드 시티 신촌점,신의 실수,6.5,8,237
인천,서울 이스케이프 룸 부평점,유러피안 스파이,6.5,6,137
동탄,마스터키 프라임 동탄점,페이소스,6.5,6,180
부산,룸즈에이 부산남포점,안개꽃,6.5,6,20
광주,룸즈에이 광주수완점,뽀득뽀득,6.5,5,30
전주,머더파커 전주 3호점,박마담의 비밀 클럽,6.5,5,157
건대,비밀의 화원 건대 포레스트점,스물아홉,6.5,4,284
부산,룸즈에이 부산서면점,너와 나의 이야기,6.5,3,117
홍대,비밀의 화원 홍대 다운타운점,"Day,trip",6.49,6,97
인천,넥스트에디션 부평점,Battleship Project,6.49,4,261
경기(기타),셜록홈즈 미사점,다이스,6.48,8,54
신촌,Gate of the story,Drugun BLUE,6.48,5,115
부천,셜록홈즈 부천점,빈집,6.48,4,44
경기(기타),래빗온더문,러브레터,6.48,3,166
서울(기타),미션 브레이크 용산 CGV,봉인의 탑: 마법사의 길,6.48,2,135
서울(기타),셜록홈즈 서울대입구점,201호202호,6.47,6,146
경기(기타),제로월드 김포점,어느 겨울밤,6.47,5,177
대전,코마 이스케이프 대전둔산점,신의 여인들,6.47,5,58
신촌,룸익스케이프 화이트점,23번째 실험연구 : 알비노,6.46,7,288
강남,마스터키 프라임 강남점,덫,6.46,5,390
서울(기타),알카트래즈,카르텔,6.46,4,41
대구,이스케이퍼스 대구점,서커스 : 동성극단의 사정,6.45,6,124
강남,마스터키 프라임 강남점,Do The G,6.45,4,391
서울(기타),이스케이프 #,주희 다방,6.45,3,310
강남,넥스트에디션 강남 3호점,첫만남,6.44,7,442
신촌,티케이프,헤르메스,6.44,7,236
강남,코드케이 강남점,미스터리 거울의 방,6.44,5,400
건대,머더파커 건대 1호점,꽁노리,6.44,3,465
평택,셜록홈즈 평택점,도둑들,6.43,0,7
경기(기타),셜록홈즈 구리점,무속인 살인사건,6.43,0,21
건대,엑스케이프 건대점,짜불성설,6.43,8,115
의정부,셜록홈즈 의정부점,노량진 고시생의 사랑-여자편,6.43,4,42
천안,리멤버 방탈출 천안점,삼원색,6.43,4,122
대학로,비밀의 화원 혜화점,슈퍼플레이어:PLAYER1,6.42,9,282
강남,넥스트에디션 강남 3호점,야근,6.42,4,455
수원,싸인 이스케이프 인계점,신비의 베이커리,6.42,4,268
부산,비밀의 화원 서면점,아뜰리에,6.42,4,74
건대,넥스트에디션 건대 1호점,B아파트 13동 1313호,6.42,3,393
천안,리멤버 방탈출 천안점,마음친구,6.42,3,130
경기(기타),제로월드 김포점,검은사원,6.41,7,199
인천,코드케이 구월점,미스터리 거울의 방,6.41,5,39
광주,룸즈에이 광주상무점,커밍순,6.41,5,32
전주,머더파커 전주 3호점,전당포 불편한 거래,6.41,5,160
성남,셜록홈즈 서현점,Below : 성 안 이야기,6.41,4,170
부산,카타르시스 이스케이프,똑똑! 계시나요?,6.41,3,85
서울(기타),패닉이스케이프 목동점,매직아카데미,6.4,8,43
홍대,덤앤더머 홍대점,휴가중,6.4,5,322
노원,셜록홈즈 노원점,황금 감옥 : 와캄,6.4,5,143
일산,룸즈에이 일산라페스타점,안개꽃,6.4,3,43
대학로,비밀의 화원 혜화점,비밀의 모험,6.39,8,284
대구,머더파커 대구점,8585세탁소,6.39,3,180
대전,도어이스케이프 NC대전유성점,GOOD NIGHT,6.39,2,72
전주,카오스 이스케이프 2호점,골드러시,6.38,8,112
신촌,티케이프,졸개 무운,6.38,5,390
창원,코드이스케이프 마산점,싱어게인,6.38,3,40
대구,머더파커 대구점,괴짜중딩 사차원,6.37,6,182
대구,룸즈에이 대구동성로 2호점,커밍순,6.37,5,91
대구,룸즈에이 대구동성로점,아이돌 남친,6.37,5,139
대구,비밀의 화원 동성로점,대대대대대대대대대탈출,6.37,5,157
대구,방탈출 브이 삼덕점,미드나잇 위스키,6.37,4,135
일산,더도어즈 이스케이프,나홀로 집에,6.37,3,139
경기(기타),마스터키 안양일번가점,데자뷰,6.37,3,227
천안,마스터키 천안신부점,패럿가이,6.37,3,182
부산,셜록홈즈 부산아트몰링점,오버드라이브,6.36,0,11
안산,셜록홈즈 안산점(2023),테스트,6.36,8,44
서울(기타),이스케이프 #,포춘테라피,6.36,5,273
서울(기타),더트랩 수유점,사립고 살인사건,6.35,4,215
강남,엑스케이프 강남점,수취인초대,6.34,7,317
강남,넥스트에디션 강남 3호점,크리쳐 - 신인류의 탄생,6.34,6,351
대전,도어이스케이프 NC대전유성점,산타의 민족,6.34,1,71
대전,셜록홈즈 대전 신세계백화점,지프리트의 심장,6.33,0,15
광주,룸즈에이 광주수완점,낭랑카페,6.33,0,15
광주,미션 브레이크 광주 CGV,봉인의 탑: 마법사의 길,6.33,0,15
강남,라스트 이스케이프,오감,6.33,5,301
신촌,룸익스케이프 블랙점,냥이점집,6.33,3,275
동탄,무비 이스케이프 동탄 남광장점,악마는 프라다를 입는다,6.31,5,61
경기(기타),제로월드 김포점,복희네 사진관,6.31,5,221
강남,세븐클루스 강남 2호점,죽음의 GP507 (renew),6.3,8,161
광주,숨바꼭질 1호점,손님,6.3,8,193
잠실,셜록홈즈 잠실 2호점,랑슈 뷰티연구소,6.3,4,266
잠실,셜록홈즈 잠실 2호점,퓨처리스트,6.29,8,236
부산,브레이크아웃 해운대점,오스왈드 지상 최대의 쇼,6.29,6,85
신촌,더클루 신촌프리미엄점,최대감댁 심부름꾼,6.29,4,225
천안,리멤버 방탈출 천안점,기억을 먹어치우는 책,6.29,3,132
대전,도어이스케이프 NC대전유성점,WOULD YOU FIND ME?,6.29,2,62
신촌,룸익스케이프 화이트점,비폴로 17호-우주로의 확장,6.28,3,273
부산,룸즈에이 부산서면점,프레임 하이커,6.27,9,142
건대,엑스크라임,운필귀정,6.27,6,181
대구,비밀의 화원 동성로점,리비도,6.27,5,59
신촌,위드방탈출,170cm즈음에,6.27,4,237
홍대,머더파커 홍대 1호점,밴드의 탄생,6.27,3,414
대구,룸즈에이 대구동성로점,취중진담,6.27,3,150
대구,머더파커 대구 2호점,도레미용실,6.27,3,165
광주,더코드 한신포차점,타짜,6.26,6,103
경기(기타),리버스 이스케이프,방탈출추리능력평가,6.25,0,16
경기(기타),셜록홈즈 용인동백점,뮤직팩토리,6.25,0,4
경기(기타),셜록홈즈 용인동백점,그레텔,6.25,0,4
경기(기타),셜록홈즈 용인동백점,The Goth: 마녀시험,6.25,0,4
창원,코드이스케이프 마산점,재즈 인 더 레인,6.25,0,16
전주,디코드 이스케이프 전주객사점,프로젝트 : 노아,6.25,0,8
인천,리멤버 방탈출 부평점,해리포터 마법사의 돌 1,6.25,5,152
홍대,이스케이퍼스 1호점,붉은머리연맹,6.24,8,295
홍대,스피키지 방탈출,1988,6.24,3,258
부산,카타르시스 이스케이프,왠지 출근하기 싫은날,6.23,7,61
강원,이스케이프 존 강원대점,방민정음,6.23,5,110
천안,리멤버 방탈출 천안점,형량,6.23,3,130
대전,마스터키 은행점,편지,6.22,2,94
대학로,덤앤더머 대학로점,글램핑,6.22,1,225
부산,브레이크아웃 해운대점,테슬라의 유산,6.21,8,58
노원,마스터키 노원점,일탈,6.21,5,211
안산,리버스 이스케이프 안산점,Vincent 2023,6.21,5,29
서울(기타),이스케이프 #,손 없는 날,6.2,5,308
광주,룸즈에이 광주상무점,이상한 돈가스,6.2,5,25
인천,넥스트에디션 부평점,SHIT,6.2,2,300
강남,이룸에이트,나의 계획은,6.19,5,324
경기(기타),제로월드 김포점,성역전설,6.19,4,177
의정부,룸즈에이 의정부점,반짝반짝,6.18,6,38
서울(기타),미션 브레이크 용산 CGV,시그널 2018,6.18,4,178
천안,마스터키 천안두정점,시크릿가든,6.18,2,127
안산,꿈소풍 안산 1호점,타로78,6.17,9,171
일산,더도어즈 이스케이프,위대하게 은밀하게,6.17,8,132
수원,리멤버 방탈출 수원점,호텔: 1408호,6.17,5,162
동탄,마스터키 프라임 동탄점,우가우가,6.17,5,171
일산,인사이드,괴도 루키,6.17,4,124
대구,방탈출 브이 공평점,XXX 클럽,6.17,4,120
부천,이스케이프시티 부천신중동점,부자가 될 상인가,6.16,6,138
신촌,룸익스케이프 화이트점,신비로운 호빗의 집,6.16,4,245
수원,싸인 이스케이프 인계점,트라이 위저드,6.16,3,190
의정부,셜록홈즈 의정부점,호텔 : 사라진 다이아몬드,6.15,8,48
대학로,셜록홈즈 대학로점,드림 인베이더,6.15,6,113
일산,룸즈에이 일산웨스턴돔점,이상한 돈가스,6.15,5,157
건대,비밀의 화원 건대 포레스트점,너의 성인식,6.15,4,244
광주,룸즈에이 광주상무점,이 소리 저만 들리나요?,6.15,3,91
대학로,비트포비아 대학로점,지금 만나러 갑니다,6.14,10,264
부산,룸즈에이 부산서면점,퍼펙트 플랜,6.14,10,127
서울(기타),미션 브레이크 용산 CGV,시그널 1989,6.14,6,189
의정부,룸즈에이 의정부점,이상한 돈가스,6.14,6,44
홍대,덤앤더머 홍대점,마리오네뜨,6.14,5,333
부산,룸즈에이 부산서면점,히어로 아카데미,6.14,4,70
잠실,마스터키 잠실점,더매치 : 마지막 전쟁,6.13,3,212
광주,룸즈에이 광주수완점,너와 나의 이야기,6.13,3,31
전주,머더파커 전주 2호점,인턴사원의 크리스마스 생존기,6.13,3,191
대전,도어이스케이프 NC대전유성점,도어항공 41C,6.13,1,71
신촌,Gate of the story,구슬탐험대,6.12,6,286
건대,마스터키 건대점,36.5 마온술사의 정원,6.12,4,339
평택,루트 이스케이프 평택점,트랩(TRAP),6.11,0,9
홍대,마스터키 홍대상수점,선물,6.11,6,321
안산,리버스 이스케이프 안산점,이젠 더 이상 필요없어!,6.11,5,27
홍대,덤앤더머 홍대점,오므라이스,6.11,3,312
강남,비밀의 화원 강남 리버타운점,브로커 나씨,6.11,3,265
부산,비트포비아 서면점,당감동 정육점,6.09,6,147
서울(기타),이스케이프 #,천사소녀 제티,6.08,4,287
천안,셜록홈즈 천안 2호점,TIED,6.08,4,134
전주,머더파커 전주 3호점,제임스 완벽한 도피,6.08,4,153
대학로,상상의문 대학로점,경찰과 도둑 EP.1 (경찰 이야기) (리뉴얼),6.08,3,194
서울(기타),이스케이프 #,판데믹,6.07,6,272
서울(기타),알카트래즈,스핑크스,6.07,5,42
동탄,셜록홈즈 동탄점,지옥의 배달부,6.07,4,28
광주,머더파커 광주점,머더파커 광주점의 비밀,6.07,4,140
광주,룸즈에이 광주상무점,띵가띵가,6.07,3,28
인천,리멤버 방탈출 부평점,해리포터와 마법사의 돌 2,6.06,7,151
광주,러시아워 방탈출 카페,빔 프로젝트,6.06,4,189
일산,룸즈에이 일산웨스턴돔점,타임키퍼,6.05,7,138
부산,덤앤더머 서면점,작전명: 옵저버,6.05,7,19
강남,에피소드 방탈출 강남점,D,6.05,6,287
대학로,룸즈에이 대학로점,Gain Time,6.05,6,229
성남,제로월드 서현점,해리포터의 모험: 마법모자의 위기,6.05,5,86
건대,엑스크라임,청림맨션,6.05,4,233
신촌,룸익스케이프 블랙점,어느 구두쇠의 전시회장,6.05,4,244
대구,셜록홈즈 대구동성로점,황금 감옥 : 와캄,6.05,3,38
광주,룸즈에이 광주상무점,멍사탕,6.05,3,95
홍대,마스터키 홍대점,연애조작단,6.05,1,267
창원,타임 이스케이프,학교<야자탈출>,6.04,6,72
홍대,서울 이스케이프 룸 홍대 2호점,베니스 상인의 저주받은 저택,6.04,5,342
광주,룸즈에이 광주수완점,Secret Agent,6.04,5,24
서울(기타),더트랩 수유점,그녀를 만나기 1시간 전,6.04,2,202
경기(기타),두잇 이스케이프 2호점,해커 : 코드네임 브레이커,6.03,9,73
건대,마스터키 건대 로데오점,선고,6.03,3,243
신림,넥스트에디션 신림점,씨프?? XX!!,6.02,6,337
강남,넥스트에디션 강남 3호점,안녕하세요? 무엇을 도와드릴까요?,6.02,5,384
전주,머더파커 전주 3호점,박엠마 엄마의 향기,6.02,5,157
일산,더도어즈 이스케이프,영웅을 찾아서,6.02,4,128
경상(기타),머더파커 양산점,머더파커 분노의 살인,6.02,4,49
건대,엑스크라임,베다바리,6.01,7,232
서울(기타),이스케이프시티 성신여대점,시험지 유출사건,6.01,6,138
홍대,덤앤더머 홍대점,소공녀,6.01,3,288
부산,마스터키 부산서면점,칼퇴,6.01,3,168
의정부,룸즈에이 의정부점,안개꽃,6,0,25
평택,셜록홈즈 평택점,혼 : 원혼의 저주,6,0,10
대전,코마 이스케이프 대전둔산점,귀빈 (손님 대접),6,0,15
제주,더코드 서귀포점,다시 시작된 살인사건,6,0,10
인천,크라임씬 방탈출,EILLE,6,7,60
일산,룸즈에이 일산웨스턴돔점,반짝반짝,6,6,130
광주,룸즈에이 광주상무점,뜻밖의 여행,6,4,30
신촌,더클루 신촌프리미엄점,뜻밖의 하루,6,3,224
광주,브레인 방탈출,썸,6,3,25
인천,넥스트에디션 부평점,Soulless,6,2,280
부산,게임오브 마인드 서면점,미치광이 의사,5.99,7,121
부산,브레이크아웃 해운대점,테라포밍,5.99,7,81
강원,플레이 이스케이프 원주점,금잔화,5.99,7,81
부산,비밀의 화원 서면점,비밀의 화원,5.99,5,81
홍대,이스케이퍼스 1호점,서커스,5.98,3,302
경기(기타),마스터키 안양일번가점,운수 좋은 날,5.98,3,204
신촌,마스터키 프라임 신촌퍼블릭점,인투더와일드,5.98,2,290
천안,셜록홈즈 아산점,말못해,5.97,6,77
강남,마스터키 강남점,토끼와 거북이,5.97,2,393
인천,넥스트에디션 부평점,이상,5.96,5,265
청주,마스터키 프라임 청주점,샵보이스,5.96,4,26
대구,방탈출 브이 공평점,몽환의 숲,5.96,4,115
대구,방탈출 브이 공평점,썬 오브 비치,5.96,4,114
광주,룸즈에이 광주수완점,방과 후,5.96,4,73
건대,넥스트에디션 건대 1호점,썸,5.96,3,282
일산,룸즈에이 일산라페스타점,히어로 아카데미,5.96,3,94
천안,마스터키 천안두정점,화이트룸-클래식,5.95,9,37
천안,셜록홈즈 아산점,대마법사 오셀로,5.95,7,42
수원,싸인 이스케이프 인계점,악은 어디에나 존재한다,5.95,5,211
대구,방탈출 브이 공평점,하나보살,5.95,5,121
서울(기타),셜록홈즈 서울대입구점,무인도,5.95,4,147
천안,셜록홈즈 천안 2호점,던전 : 비밀의문,5.95,4,121
부산,G9 이스케이프,건축무한육면각체 : 숨겨진 비밀,5.95,4,63
대전,셜록홈즈 대전 신세계백화점,피플인사이드,5.95,2,84
강남,라스트 이스케이프,비서,5.94,6,256
수원,리멤버 방탈출 수원점,해리포터 맨드레이크의 비밀,5.94,3,149
부산,미션 이스케이프 부산대점,비밀프로젝트 - 1급기밀 코드넘버 b901,5.93,8,27
잠실,넥스트에디션 잠실점,카페라떼,5.93,4,268
대학로,비트포비아 대학로점,이런 변이 있나,5.93,3,301
신림,룸엘이스케이프,아빠.. 어디가?,5.93,3,291
강남,이룸에이트,죽지않아,5.92,3,287
건대,비밀의 화원 건대점,안녕,5.92,3,267
제주,더코드 서귀포점,세기의 명화를 훔치는 도둑들,5.91,0,11
대구,비밀의 화원 동성로점,향수 2019,5.91,8,44
의정부,룸즈에이 의정부점,타임키퍼,5.91,7,44
서울(기타),셜록홈즈 종각점,숙제,5.91,4,176
부산,키이스케이프 덕천점,난쟁이의 장난,5.91,4,44
대구,방탈출 브이 삼덕점,퍽 댓 쉿,5.91,4,127
광주,셜록홈즈 광주점,나랏말싸미,5.91,2,77
대구,이스케이퍼스 대구점,웰컴 투 캔디샵,5.9,4,133
광주,머더파커 광주점,파커투,5.9,2,134
인천,코드케이 구월점,납치,5.88,0,34
대구,트랩코리아 대구월성점,고대 이집트,5.88,8,57
일산,더도어즈 이스케이프,향수,5.88,7,142
전주,카오스 이스케이프 2호점,작전명 쉐도우,5.88,7,102
부천,넥스트에디션 부천점,진시황,5.88,5,249
경상(기타),머더파커 양산점,엘리스 사라진 아이,5.87,4,86
서울(기타),이스케이프시티 영등포점,카지노의 전설,5.86,7,157
건대,엑스케이프 건대점,숨바꼭질,5.86,6,185
대학로,비밀의 화원 혜화점,대감댁 변씨,5.86,6,244
대구,룸즈에이 대구동성로 2호점,여우골,5.86,6,145
전라(기타),마스터키 익산점,온칼로 : 10만년의 밤,5.86,5,29
대구,마스터키 동성로 2호점,필라멘트,5.86,3,93
인천,코드케이 구월점,감옥탈출,5.86,2,35
대전,마스터키 궁동점,재심,5.85,4,88
일산,더도어즈 이스케이프,광호반점,5.85,3,129
신림,넥스트에디션 신림점,옛날옛날에,5.85,1,323
인천,이스케이프탑 인천점,마법사 : 미로의 방(AR),5.83,0,6
의정부,룸즈에이 의정부점,Gain Time,5.83,0,18
