지역,매장,테마,별점,난이도,리뷰수
신촌,클레버타운,난 너의 보이,8.73,7,138
홍대,지구별 방탈출 홍대라스트시티점,스텔라,8.73,2,304
강남,비트포비아 강남 던전,대호시장 살인사건,8.72,8,797
강남,비트포비아 강남 던전2,LOST KINGDOM2 : 대탐험의 시작,8.71,6,766
신촌,마스터키 프라임 신촌퍼블릭점,SCENE : 404 NOT FOUND,8.71,4,513
대구,황금열쇠 대구점,JAIL.O,8.7,9,370
경기(기타),나비잠 2호점,블라인드 저스티스,8.7,8,54
홍대,머더파커 WOW 홍대점,하(HA),8.7,7,404
대구,서울 이스케이프 룸 대구 동성로점,카지노,8.69,7,111
홍대,티켓 투 이스케이프,"HELLO, PRAY",8.69,6,65
대구,황금열쇠 대구동성로 2호점 (더킹),LAST,8.69,5,42
성남,상상의문 분당서현점,시크릿 왕국의 스캔들 (감독판),8.68,5,129
건대,이스케이프 # 건대점,오메가,8.67,6,402
대구,황금열쇠 대구동성로 2호점 (더킹),HEAVEN,8.67,5,263
대구,황금열쇠 대구동성로 2호점 (더킹),"다시, 너에게",8.66,8,202
건대,머더파커 건대 1호점,파커4,8.65,9,434
성남,상상의문 분당서현점,역만,8.65,9,262
잠실,머더파커 잠실점,정육각형,8.65,8,373
건대,넥스트에디션 보네르관,세렌디피티,8.65,6,679
인천,마스터키 부평점,별점테러 짜장나요,8.64,4,140
강남,판타스트릭 강남 2호점,사자의 서 : 북 오브 두아트,8.63,7,482
강남,포인트나인 강남 1호점,EP1 : 시간이 멈춘 마을,8.63,7,714
경기(기타),제로월드 김포점,최면,8.63,5,124
광주,에스케이프,링크 시즌 2,8.62,7,40
홍대,티켓 투 이스케이프,SCENE BEHIND THE SIN,8.62,5,145
홍대,딥띵커,옹이의 꿈,8.62,3,372
홍대,비트포비아 홍대 던전3,그달동네,8.62,3,641
홍대,이스케이퍼스 2호점,테라포밍마스,8.61,8,371
건대,포인트나인 건대점,ALBA,8.61,7,624
홍대,비밀의 화원 홍대 다운타운점,BOSS : COMPANY_LU,8.61,5,575
대구,지구별 방탈출,우리 아빠,8.61,5,335
수원,룸즈에이 수원역2호점,평화로운 에이마트,8.61,4,313
강남,도어 이스케이프 레드 신논현점,LUCKY,8.6,6,731
수원,룸즈에이 수원역2호점,Hotel California,8.59,9,288
강남,겟어웨이 방탈출,#4 악마와 싸우는 자,8.59,5,39
부산,머더파커 부산점,액션(Action),8.59,5,135
인천,어메이즈드 부평 2호점,하시마,8.58,7,544
강남,포인트나인 강남 1호점,EP4 : 주인 없는 낡은 서점,8.57,8,583
건대,머더파커 건대 2호점,동창회,8.56,8,462
건대,드림이스케이프,Dolphin,8.56,6,506
