날짜,스트레스,당뇨
2024-12-25,16.19135,30.05213
2024-12-26,17.54063,38.85311
2024-12-27,19.25789,39.74241
2024-12-28,17.96994,32.16804
2024-12-29,16.92732,29.31616
2024-12-30,18.39926,36.89052
2024-12-31,18.0926,34.62128
2025-01-01,18.95124,28.61085
2025-01-02,19.1659,36.79852
2025-01-03,19.84053,37.84115
2025-01-04,17.57129,37.74915
2025-01-05,18.85924,32.99601
2025-01-06,18.95124,41.91965
2025-01-07,19.47255,42.87028
2025-01-08,21.89512,42.99294
2025-01-09,19.59521,42.44096
2025-01-10,18.33793,39.00643
2025-01-11,16.16068,36.30788
2025-01-12,18.85924,31.55473
2025-01-13,19.9632,43.17693
2025-01-14,22.87641,44.86353
2025-01-15,21.00582,40.8157
2025-01-16,22.14044,43.79024
2025-01-17,20.85249,42.07298
2025-01-18,18.21527,34.92793
2025-01-19,18.21527,29.74547
2025-01-20,22.90708,41.58233
2025-01-21,20.33118,48.32873
2025-01-22,22.20177,44.55688
2025-01-23,21.92578,40.44771
2025-01-24,21.00582,40.32505
2025-01-25,17.2953,35.54124
2025-01-26,20.02453,31.27874
2025-01-27,19.84053,35.78656
2025-01-28,16.34467,34.9586
2025-01-29,15.48604,39.71174
2025-01-30,17.17264,35.32658
2025-01-31,17.93928,42.68629
2025-02-01,17.01931,36.95185
2025-02-02,19.56455,34.43728
2025-02-03,19.38055,44.06623
2025-02-04,20.69917,44.95553
2025-02-05,20.69917,41.15302
2025-02-06,21.58846,40.93836
2025-02-07,19.47255,39.00643
2025-02-08,18.06194,35.87856
2025-02-09,18.64458,35.54124
2025-02-10,21.09782,45.32352
2025-02-11,20.85249,47.31677
2025-02-12,23.64305,43.51425
2025-02-13,23.88837,45.04753
2025-02-14,24.37902,45.41551
2025-02-15,20.23919,36.5532
2025-02-16,21.95645,33.18
2025-02-17,23.48972,44.8022
2025-02-18,22.96841,47.53143
2025-02-19,24.28702,45.29285
2025-02-20,25.32965,45.6915
2025-02-21,22.81508,44.06623
2025-02-22,20.54584,38.27046
2025-02-23,20.45384,33.18
2025-02-24,23.67371,47.80742
2025-02-25,24.47102,48.2674
2025-02-26,25.42164,42.83961
2025-02-27,24.56301,42.74762
2025-02-28,21.34314,39.86507
2025-03-01,19.13523,33.70131
2025-03-02,19.34989,32.01471
2025-03-03,21.18981,34.25329
2025-03-04,24.19503,41.24501
2025-03-05,23.1524,40.04906
2025-03-06,24.37902,42.56363
2025-03-07,23.42839,44.15823
2025-03-08,20.30052,34.49862
2025-03-09,21.61913,33.272
2025-03-10,23.36706,45.10886
2025-03-11,22.66176,46.36614
2025-03-12,25.94296,43.2996
2025-03-13,25.94296,44.92486
2025-03-14,23.82704,41.49034
2025-03-15,20.82183,35.57191
2025-03-16,22.41643,35.08126
2025-03-17,25.75896,43.54492
2025-03-18,26.18828,43.23827
2025-03-19,25.66697,45.90616
2025-03-20,25.97362,43.39159
2025-03-21,25.02299,41.82766
2025-03-22,21.03649,33.36399
2025-03-23,20.39251,32.53603
2025-03-24,24.50168,43.14627
2025-03-25,26.12695,42.3183
2025-03-26,25.20699,38.91444
2025-03-27,25.11499,41.91965
2025-03-28,23.42839,35.60257
2025-03-29,19.84053,31.55473
2025-03-30,21.31248,32.01471
2025-03-31,24.28702,40.93836
2025-04-01,22.99908,41.613
2025-04-02,22.23244,40.99969
2025-04-03,24.53235,38.57712
2025-04-04,20.48451,37.2585
2025-04-05,19.19656,30.05213
2025-04-06,19.84053,28.08954
2025-04-07,23.98037,39.15976
2025-04-08,24.0417,43.05427
2025-04-09,25.45231,41.12235
2025-04-10,23.42839,39.55841
2025-04-11,22.81508,41.18368
2025-04-12,20.05519,32.72002
2025-04-13,19.93253,31.5854
2025-04-14,21.37381,41.91965
2025-04-15,23.76571,42.16498
2025-04-16,24.80834,40.50904
2025-04-17,23.64305,41.76632
2025-04-18,21.6498,37.74915
2025-04-19,19.71787,32.65869
2025-04-20,18.15394,26.46427
2025-04-21,23.2444,38.20913
2025-04-22,23.52039,39.37442
2025-04-23,22.93774,38.60778
2025-04-24,24.01103,38.9451
2025-04-25,20.57651,33.30266
2025-04-26,20.11652,28.97884
2025-04-27,19.9632,28.18153
2025-04-28,22.69242,36.03189
2025-04-29,23.85771,36.61453
2025-04-30,21.83379,32.16804
2025-05-01,21.34314,30.7881
2025-05-02,20.63784,32.50536
2025-05-03,17.32597,29.13216
2025-05-04,17.17264,26.24961
2025-05-05,18.06194,26.34161
2025-05-06,18.00061,29.46948
2025-05-07,23.64305,39.8344
2025-05-08,21.12848,40.69303
2025-05-09,22.78442,37.19717
2025-05-10,21.18981,32.99601
2025-05-11,19.34989,29.46948
2025-05-12,25.45231,39.0371
2025-05-13,23.30573,39.61974
2025-05-14,25.97362,39.22109
2025-05-15,23.09107,40.8157
2025-05-16,21.80312,36.43054
2025-05-17,19.90187,32.3827
2025-05-18,19.34989,29.28549
2025-05-19,24.53235,40.7237
2025-05-20,30.94142,37.62649
2025-05-21,29.19349,39.46642
2025-05-22,25.60564,39.37442
2025-05-23,22.29377,33.33333
2025-05-24,20.17785,31.27874
2025-05-25,20.42318,29.04017
2025-05-26,24.56301,37.81048
2025-05-27,23.85771,36.95185
2025-05-28,24.16436,35.7559
2025-05-29,25.14566,33.60932
2025-05-30,23.88837,32.4747
2025-05-31,19.22723,28.42686
2025-06-01,20.36185,26.28028
2025-06-02,23.85771,34.31462
2025-06-03,19.7792,26.70959
2025-06-04,21.22048,31.43207
2025-06-05,22.01778,33.36399
2025-06-06,18.21527,24.65501
2025-06-07,19.74854,27.62956
2025-06-08,21.12848,27.01625
2025-06-09,24.40969,36.61453
2025-06-10,24.59368,37.01318
2025-06-11,23.9497,39.09843
2025-06-12,25.36031,38.42379
2025-06-13,23.73505,33.54799
2025-06-14,19.93253,28.88684
2025-06-15,18.95124,28.3042
2025-06-16,22.78442,35.35725
2025-06-17,22.2631,35.29592
2025-06-18,25.91229,35.47991
2025-06-19,23.67371,32.44403
2025-06-20,22.47776,30.57344
2025-06-21,19.56455,27.66022
2025-06-22,20.69917,25.39098
2025-06-23,22.3551,34.92793
2025-06-24,24.28702,35.23459
2025-06-25,22.10978,31.34007
2025-06-26,22.84575,31.18675
2025-06-27,20.11652,31.55473
2025-06-28,15.45538,26.64826
2025-06-29,16.34467,25.17632
2025-06-30,17.84728,32.35203
2025-07-01,21.6498,32.90401
2025-07-02,20.7605,30.35878
2025-07-03,19.25789,31.46274
2025-07-04,20.51517,30.32812
2025-07-05,16.16068,25.05366
2025-07-06,16.03802,21.95645
2025-07-07,21.43514,33.088
2025-07-08,18.85924,30.72677
2025-07-09,21.09782,32.90401
2025-07-10,20.26985,31.55473
2025-07-11,19.1659,30.94142
2025-07-12,16.00735,31.27874
2025-07-13,16.43667,26.89359
2025-07-14,20.72983,35.97056
